sampling_date,depth,CSC_flag,salinity,temperature,HCO3,CO3,pH_insi,ta,dic,OmegaCalcite,OmegaAragonite,pCO2,fCO2
2021-01-19,50,15,38.0115,14.3017,0.00205090214520047,2.033162852149716e-4,8.110674114544041,2554.7108399999997,2268.0535199999995,4.704549284569339,3.028004256107126,369.0765723222294,367.731402738315
2021-01-26,1,15,38.0454,14.1257,0.00206068687938517,2.0174970459169348e-4,8.112172983138636,2560.36197,2276.50521,4.707576592943913,3.027111632988853,373.36507977835095,372.00122535834174
2021-01-26,50,15,38.0416,14.161,0.00205733212181886,2.022499847206768e-4,8.108928478253006,2558.46159,2273.55462,4.6788108053676,3.010595059817233,371.2070497071038,369.8516900549639
2021-02-02,1,15,38.0455,14.0572,0.00206312646614747,2.0082656142972653e-4,8.11024460219038,2560.5119999999997,2278.10553,4.686064811422038,3.0128469579488297,374.8043827370449,373.4340751689191
2021-02-02,50,15,38.0556,14.0423,0.00206191370420295,2.0168966360872517e-4,8.109126801522375,2561.61222,2277.6554399999995,4.665349663969911,3.0012101313684743,371.995939475,370.6356461128367
2021-02-09,1,15,37.9405,13.8348,0.00205834481764831,2.0347360446921857e-4,8.119692408994428,2562.21234,2275.6550399999996,4.751560044742593,3.0533683657176653,363.7304414016402,362.3968675830859
2021-02-09,50,15,37.97,13.898,0.00205929612074987,2.0351569168944637e-4,8.116279663427056,2563.41258,2276.6552399999996,4.710490868128352,3.029199860414016,364.67776205567446,363.3417890150917
2021-02-16,1,15,37.867,13.5909,0.00206788399181755,1.980943984310299e-4,8.12447153243232,2558.5616099999997,2280.2559600000004,4.628528230225464,2.972690273791607,372.3563228529361,370.9868617350545
2021-02-16,50,15,38.0421,13.9327,0.0020685526785395,1.9942645737750203e-4,8.116217086621985,2562.66243,2282.2563600000003,4.613436006561548,2.9671159553700335,376.6592234496863,375.2799483392539
2021-02-23,1,15,38.0425,13.8861,0.00206253143200389,2.0280372870002512e-4,8.117508205054989,2564.76285,2279.30577,4.732393467184069,3.0415447698574525,368.04380449091786,366.6952909308979
2021-02-23,50,15,38.0659,13.9132,0.0020708821782481,1.9855102436907917e-4,8.115133874978369,2562.86247,2283.80667,4.592388491384036,2.9534968277685403,379.0220873561571,377.63381162904034
2021-03-02,1,15,37.8725,13.8303,0.00206562002779822,2.0384217423946384e-4,8.126965068594401,2569.96389,2283.3565799999997,4.762505459222292,3.060253824871248,365.0583897609359,363.7198685367699
2021-03-02,50,15,38.0744,13.9122,0.00206399127062105,2.0246092258360176e-4,8.113012182536563,2565.56301,2280.456,4.682533368306179,3.0114786927863024,369.2806156688612,367.92801806623663
2021-03-09,1,15,37.9229,13.8823,0.00206561014751579,2.076896125957394e-4,8.124231156633433,2579.1657299999997,2286.9573,4.850604766292156,3.1172903763594957,359.5120083714876,358.1947039299364
2021-03-09,50,15,38.1312,13.9713,0.00206904559355942,2.0133575857576863e-4,8.11418606184425,2567.8134600000003,2284.55682,4.654592229807665,2.9939634019563335,374.605850629,373.2347714991775
2021-03-16,1,15,38.1051,13.916,0.00207831285697734,1.9875099373508956e-4,8.11785850246602,2570.4139800000003,2291.55822,4.635698646077123,2.979680273226184,382.3274676177137,380.92712983572943
2021-03-16,50,15,38.1171,13.9094,0.00206853486574519,2.0518553007065285e-4,8.11617165150323,2576.5152,2287.60743,4.744075548139776,3.051107490404835,366.2578722541354,364.9163029580644
2021-03-23,1,15,38.1152,13.8983,0.00206781514306683,2.02242534352864e-4,8.119022160808434,2568.61362,2284.156739999999,4.71680005869814,3.03171385264625,371.71919825004176,370.35742406059734
2021-03-23,50,15,38.1505,13.8592,0.00207623024852883,1.9636135187080627e-4,8.109354131032795,2562.96249,2287.2073499999997,4.538947683338453,2.9189266320522647,384.9553813491089,383.5443944448358
2021-03-30,1,15,37.8498,15.0287,0.00206234933273643,2.049919548755916e-4,8.11091292157714,2568.81366,2281.35618,4.789923151457805,3.085678473478619,381.8573821377043,380.47839034585814
2021-03-30,50,15,38.1946,13.8576,0.00207793154655867,1.9896965891976265e-4,8.102249521805078,2570.91408,2291.35818,4.597763282272613,2.956803888173221,380.8493536756669,379.4533945450216
2021-04-06,1,15,37.9622,15.2865,0.00205406163704605,2.12402164673977e-4,8.11158733431584,2578.5155999999997,2279.9559,4.958991167233601,3.1966089114193017,370.7046490058248,369.37031203265343
2021-04-06,50,15,38.16,14.6835,0.00206831050263232,2.035826439221865e-4,8.106649467503614,2572.1143199999997,2286.0571199999995,4.705718722276911,3.03145484247735,382.57989907318546,381.19223710282625
2021-04-13,1,15,38.125,14.652,0.00207531046303886,2.013190398956285e-4,8.106724620591443,2573.21454,2291.0581199999997,4.694605148620174,3.022269076823358,389.2799244355089,387.86738583307886
2021-04-13,50,15,38.1805,14.4221,0.00206984866771698,2.0464830373422685e-4,8.107180699178457,2576.31516,2288.5576199999996,4.729547480547903,3.0451352814431405,376.8297981853217,375.458458094885
2021-04-20,1,15,38.0139,14.5145,0.0020792439569233,1.961001184444555e-4,8.117532349562904,2564.4627899999996,2290.1579399999996,4.5766714747579265,2.9453074683948377,397.76142639218455,396.31557722133306
2021-04-20,50,15,38.0965,14.1796,0.0020717041538165,2.02324701129371e-4,8.108183397404739,2572.56441,2288.20755,4.6786691277952785,3.010707913239359,377.0152899113831,375.6390398297541
2021-04-27,1,15,38.0394,14.9373,0.00207453480977008,2.0341145763299275e-4,8.10411204521626,2577.16533,2292.25836,4.746351966069868,3.0573301809931257,389.2949484713663,387.88745690386736
2021-04-27,50,15,38.0797,14.6695,0.0020636522881645,2.0518363837347304e-4,8.107257959335007,2571.31416,2282.80647,4.745527037814506,3.056882788973077,377.0254387256947,375.65768885292835
2021-05-04,1,15,37.7165,15.5906,0.00206810921416235,2.018414338220581e-4,8.1008240341333,2566.41318,2284.35678,4.7211085313712475,3.0448710420538023,398.88696322668136,397.45665198597766
2021-05-04,50,15,38.1113,14.5325,0.00206457388765662,2.0484880212490416e-4,8.10379983930357,2571.5642099999995,2283.4065899999996,4.736625490188458,3.050303929232243,375.88707249850376,374.5210809075478
2021-05-11,1,15,37.909,16.1411,0.00205450658095306,2.0235627504902655e-4,8.087699191500558,2554.5108,2271.2041499999996,4.726660916372448,3.05260951780147,404.06463385023426,402.6257827428649
2021-05-11,50,15,38.06,15.8513,0.00207705534840361,1.953221455498328e-4,8.088580979497925,2560.0119,2287.50741,4.5189531927423126,2.9184905124156826,422.9977366735856,421.4859165094021
2021-05-18,1,15,37.7435,16.4011,0.00207704604717105,1.9990224258713068e-4,8.08955341402775,2569.96389,2291.8082700000004,4.675341156089761,3.0209635397949417,421.5107205214885,420.0146261493326
2021-05-18,50,15,38.156,14.3876,0.00211051839228817,1.8985051034045775e-4,8.095793031902907,2580.21594,2316.1131299999997,4.388342632990337,2.8252084838105107,421.449396237189,419.91493126701533
2021-05-25,1,15,37.7181,16.9611,0.00208544157783038,1.9715298768655377e-4,8.079817833347349,2571.21414,2297.90949,4.612477853826083,2.9841961964843735,441.52760860170054,439.9714345551511
2021-05-25,50,15,38.0895,15.5437,0.00208706550399819,1.9527892962118616e-4,8.092955192250825,2569.76385,2297.5594199999996,4.516673309010265,2.9150506199039237,421.56967442031754,420.0570942432411
2021-06-01,1,15,37.6595,18.4495,0.00208019974138424,2.015134681794396e-4,8.064530508955052,2575.66503,2296.9593,4.718942465151646,3.064017520356596,458.5902664078552,457.00378110071944
2021-06-01,50,15,38.1208,15.5975,0.0020770524842206,1.9634862601243717e-4,8.090234189899157,2562.71244,2288.40759,4.5403962260126605,2.930760879812849,416.5327745639313,415.039290901657
2021-06-09,1,15,36.8912,20.5853,0.00206410317849245,1.974259159450756e-4,8.043838466948674,2548.15953,2277.20535,4.657080812326084,3.0386929320988,498.29729778455675,496.6185432283564
2021-06-09,50,15,38.1653,15.0396,0.00205443982042848,1.9364082781963337e-4,8.099025850015277,2534.90688,2262.85248,4.47590934322288,2.885642191698644,403.3245200645429,401.8681712255682
2021-06-15,1,15,35.3856,23.4611,0.00205060371086053,2.044227923131968e-4,7.990811124554709,2547.9594899999997,2270.35398,4.895412373644185,3.2140052061562105,521.740596251351,520.0439301731888
2021-06-15,50,15,38.1545,14.669,0.00206722091076043,1.9404407533485233e-4,8.099198093670578,2548.30956,2276.10513,4.485415554242656,2.8894362108448375,400.6554032098497,399.20188300178734
2021-06-22,1,15,36.9824,24.1151,0.00203287790710265,2.1305700626858388e-4,7.956086650080572,2553.66063,2260.9020899999996,5.039354327196089,3.321469674264795,522.4888613004954,520.8032829141649
2021-06-22,50,15,38.152,14.947,0.00206818815802045,1.986483590706127e-4,8.136084183176703,2560.11192,2281.4061899999997,4.592058642428788,2.9599075963111057,396.6670463840035,395.2330657329109
2021-06-29,1,15,37.2042,24.2676,0.00204740756620427,2.1021870846845572e-4,7.985982958267693,2561.2121399999996,2273.10453,4.963731640228034,3.2738125929316086,543.0660305217707,541.3172839322245
2021-06-29,50,15,38.1456,15.78,0.00206315719294097,2.0141951661006648e-4,8.095679379363453,2561.3621700000003,2279.05572,4.65695415148297,3.007266569777346,404.13627153009145,402.69059257388506
2021-07-06,1,15,37.3217,24.267,0.00205805471395596,2.0248526114024877e-4,7.988304672852295,2553.31056,2276.80527,4.7763204040048715,3.1505332145058467,571.0222638384316,569.1834221852628
2021-07-06,50,15,38.1433,15.2878,0.00206251086216626,2.014875671145874e-4,8.099638426415371,2561.1621299999997,2278.35558,4.658203425780967,3.0047710955082176,394.8870736210139,393.4656784328328
2021-07-13,1,15,37.6884,24.4067,0.00203352972718778,2.115528725891103e-4,7.993479967473249,2551.71024,2260.4019900000003,4.975255175947186,3.2841243167779974,540.7635648556156,539.0251875028295
2021-07-13,50,15,38.1203,15.2422,0.0020533832897293,2.0091405478905297e-4,8.101628727124606,2551.0101,2268.5536199999997,4.645708554236508,2.9963751475641525,391.5264887355426,390.11638161148744
2021-07-20,1,15,37.4252,24.0791,0.00206184985946074,2.0452073964572957e-4,7.991851286063197,2562.06231,2282.50641,4.819040226487106,3.177204937897405,564.0745184548891,562.2538963809151
2021-07-20,50,15,38.1368,14.6619,0.0020629852533684,2.0122354456672e-4,8.101563813958808,2561.31216,2278.4556,4.651976607856459,2.9966600794331466,384.5153877019999,383.1203202364953
2021-07-27,1,15,37.6371,25.6092,0.00202294694712469,2.1503673583587215e-4,7.978691673744223,2549.20974,2253.2005499999996,5.066662302802013,3.356713562324845,553.4476525678429,551.6942984360616
2021-07-27,50,15,38.0848,16.1675,0.00203298912740144,2.0690706523925e-4,8.101184220247124,2545.0589099999997,2253.65064,4.786442613921445,3.0935079646457675,388.21116164794824,386.82924818483514
2021-08-03,1,15,38.1378,23.1634,0.00203640769878065,2.126298870062984e-4,8.012881485768093,2558.31156,2264.10273,4.975096535331294,3.2728964077756544,516.3062699145739,514.6211566497286
2021-08-03,50,15,38.0754,16.1484,0.00204416819231093,2.028562726286331e-4,8.09987799863225,2546.15913,2261.20215,4.693045337206585,3.032997071071468,399.9104418251931,398.4865211808203
2021-08-10,1,NA,NA,NA,NA,NA,NA,2560.0119,2252.65044,NA,NA,NA,NA
2021-08-17,1,NA,NA,NA,NA,NA,NA,2551.26015,2245.9491,NA,NA,NA,NA
2021-08-24,1,NA,NA,NA,NA,NA,NA,2564.5128,2256.85128,NA,NA,NA,NA
