"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1996-03-27;08:00:00;0;13.741;38.053;"03";"1996";"1996-03"
1996-04-03;07:00:00;50;13.668;38.079;"04";"1996";"1996-04"
1996-04-03;07:00:00;0;13.67;38.058;"04";"1996";"1996-04"
1996-04-10;07:00:00;50;13.618;38.044;"04";"1996";"1996-04"
1996-04-10;07:00:00;0;14.743;37.15;"04";"1996";"1996-04"
1996-04-17;07:00:00;50;14.076;38;"04";"1996";"1996-04"
1996-04-17;07:00:00;0;15.013;37.882;"04";"1996";"1996-04"
1996-04-24;07:00:00;50;14.524;37.956;"04";"1996";"1996-04"
1996-04-24;07:00:00;0;NA;NA;"04";"1996";"1996-04"
1996-04-30;07:00:00;50;14.654;37.961;"04";"1996";"1996-04"
1996-04-30;07:00:00;0;15.313;37.691;"04";"1996";"1996-04"
1996-05-07;07:00:00;50;13.87;38.03;"05";"1996";"1996-05"
1996-05-07;07:00:00;0;15.38;37.811;"05";"1996";"1996-05"
1996-05-15;07:00:00;50;14.407;37.951;"05";"1996";"1996-05"
1996-05-15;07:00:00;0;17.571;37.5;"05";"1996";"1996-05"
1996-05-22;07:00:00;50;14.242;37.992;"05";"1996";"1996-05"
1996-05-22;07:00:00;0;17.011;37.64;"05";"1996";"1996-05"
1996-05-29;07:00:00;50;15.496;37.893;"05";"1996";"1996-05"
1996-05-29;07:00:00;0;19.643;37.593;"05";"1996";"1996-05"
1996-06-05;07:00:00;50;15.02;37.816;"06";"1996";"1996-06"
1996-06-05;07:00:00;0;19.958;37.546;"06";"1996";"1996-06"
1996-06-12;07:00:00;50;14.796;37.977;"06";"1996";"1996-06"
1996-06-12;07:00:00;0;23.381;37.597;"06";"1996";"1996-06"
1996-06-19;07:00:00;50;14.416;37.982;"06";"1996";"1996-06"
1996-06-19;07:00:00;0;22.663;37.677;"06";"1996";"1996-06"
1996-06-26;07:00:00;50;14.824;38.015;"06";"1996";"1996-06"
1996-06-26;07:00:00;0;20.147;37.813;"06";"1996";"1996-06"
1996-07-03;07:00:00;50;15.585;37.941;"07";"1996";"1996-07"
1996-07-03;07:00:00;0;21.365;37.876;"07";"1996";"1996-07"
1996-07-10;07:00:00;50;15.285;37.955;"07";"1996";"1996-07"
1996-07-10;07:00:00;0;21.459;37.918;"07";"1996";"1996-07"
1996-07-17;07:00:00;50;14.463;37.961;"07";"1996";"1996-07"
1996-07-17;07:00:00;0;22.648;37.888;"07";"1996";"1996-07"
1996-07-26;07:00:00;50;14.633;37.949;"07";"1996";"1996-07"
1996-07-26;07:00:00;0;23.324;37.988;"07";"1996";"1996-07"
1996-07-31;07:00:00;50;15.278;37.944;"07";"1996";"1996-07"
1996-07-31;07:00:00;0;24.169;37.995;"07";"1996";"1996-07"
1996-08-07;07:00:00;50;14.37;38.009;"08";"1996";"1996-08"
1996-08-07;07:00:00;0;25.149;37.966;"08";"1996";"1996-08"
1996-08-14;07:00:00;50;17.924;37.957;"08";"1996";"1996-08"
1996-08-14;07:00:00;0;23.398;38.031;"08";"1996";"1996-08"
1996-08-21;07:00:00;50;14.807;37.97;"08";"1996";"1996-08"
1996-08-21;07:00:00;0;24.746;38.031;"08";"1996";"1996-08"
1996-08-28;07:00:00;50;14.265;37.996;"08";"1996";"1996-08"
1996-08-28;07:00:00;0;24.059;38.024;"08";"1996";"1996-08"
