"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"impute_temp";"impute_sal";"impute_pco2_w";"impute_ta";"impute_dic";"impute_Pt";"impute_Sit"
2018-11-13;50;20.01;38.12;2524.0047;2207.74146;0.041;0.358;0.295;7.99517210105072;8.07319467771377;NA;8.07319467771377;0.0457580742202493;1.76119906945598;4;11;46;1;5;8.07002254704836;1.27102556200759e-05;398.98702929083;400.345285668047;398.883799813084;400.241863314706;401.639386368944;409.822175228657;0.00197125277616481;0.0002237784282151;3.38264818733838;5.18435222989138;8.10078439972295;2516.05924973767;2200.79159181532;"2018-11";2018;"11";20.01;38.12;400.345285668047;2524.0047;2207.74146;0.0457580742202493;1.76119906945598
2018-11-20;50;NA;38.105;2536.80726;2213.4426;0.037;0.211;0.289;NA;NA;NA;NA;NA;NA;4;11;47;NA;NA;8.09474199498394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.1103711567323;2529.81697624984;2207.34336176355;"2018-11";2018;"11";19.0182915160597;38.105;395.239285808313;2536.80726;2213.4426;0.0403961325414342;1.7136347396836
2018-11-27;50;18.29;38.09;2542.35837;2232.14634;0.066;0.309;NA;7.99173239718261;8.09710187890124;NA;8.09710187890124;0.0350341908626192;1.66607040991122;4;11;48;1;5;8.08446164644046;1.29459885501799e-05;387.214474169872;388.561271010597;387.117261412536;388.463869032036;389.803812809898;397.919361508414;0.00199941614564538;0.00021978420580443;3.30515104571586;5.08804846962723;8.08890497171719;2536.35122236808;2226.87216907325;"2018-11";2018;"11";18.29;38.09;388.561271010597;2542.35837;2232.14634;0.0350341908626192;1.66607040991122
2018-12-04;50;17.5801;38.1146;2547.20934;2236.74726;0.085;0.158;0.214;7.99173124327383;8.10847893311457;NA;8.10847893311457;0.0642170317929808;1.29115153317099;4;12;49;1;5;8.09476472230606;1.28712920709413e-05;377.286610768455;378.610613802971;377.193188628281;378.517006787312;379.815741977701;387.794681744368;0.00200415354463661;0.00021972242329244;3.29686205087012;5.08406552332738;8.08830757561494;2539.5505900626;2230.02198317705;"2018-12";2018;"12";17.5801;38.1146;378.610613802971;2547.20934;2236.74726;0.0642170317929808;1.29115153317099
2018-12-11;50;17.178;38.1092;2546.0091;2236.64724;0.083;0.212;0.255;7.9809938254071;8.10404758803385;NA;8.10404758803385;0.0350242380213349;1.37664713333858;4;12;50;1;5;8.09943844728653;1.28544836118538e-05;372.427314904189;373.740890427728;372.33586324493;373.649256097975;374.9273412213;382.84386166952;0.00200499299887476;0.00021879975751338;3.27948141159982;5.06216328922361;8.08679554978791;2538.71363870142;2230.23823958519;"2018-12";2018;"12";17.178;38.1092;373.740890427728;2546.0091;2236.64724;0.0350242380213349;1.37664713333858
2018-12-18;50;16.7032;38.0926;2553.11052;2248.34958;0.106;0.33;0.331;7.97777962718744;8.10842290086621;NA;8.10842290086621;0.0389119442634035;1.12260959199919;4;12;51;1;5;8.09855236151673;1.31140358261069e-05;374.691390065796;376.020891843662;374.600330400703;375.929648283588;377.210748579715;385.223758862655;0.00201933476379876;0.00021590078037513;3.23228126292904;4.99494516804344;8.07860621733596;2546.90411681009;2242.88402576878;"2018-12";2018;"12";16.7032;38.0926;376.020891843662;2553.11052;2248.34958;0.0389119442634035;1.12260959199919
2018-12-25;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.09554034402937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.07598856264337;NA;NA;"2018-12";2018;"12";16.7285862763425;38.0813;381.154804654967;2562.34609342613;2258.51732740925;0.0369637889580553;1.30830498059068
2019-01-02;50;15.997;38.07;2559.21174;2264.70285;0.28;0.449;0.517;7.97174166539402;8.11367724409359;NA;8.11367724409359;0.0350156336527071;1.49400036918217;1;1;1;1;5;8.0920833616926;1.36793608537621e-05;382.749520188386;384.119807083438;382.658006866331;384.028105929186;385.329366778651;393.588977159574;0.0020417715402901;0.00020925194885613;3.12754601870089;4.8410280115035;8.06128753095301;2554.50607092199;2260.53869976359;"2019-01";2019;"01";15.997;38.07;384.119807083438;2559.21174;2264.70285;0.0350156336527071;1.49400036918217
2019-01-08;50;15.6701;38.0706;2550.0099;2237.4474;0.236;0.412;0.479;7.96467434544229;8.11176852729272;NA;8.11176852729272;0.0369581947924184;1.15834763152027;1;1;2;1;5;8.12772572722818;1.24663613333059e-05;345.437359364845;346.679146290188;345.355414314676;346.597031812623;347.768355005483;355.253740150757;0.00200472226296836;0.00022025877569832;3.28938208670013;5.0952851977659;8.09177073696134;2545.28103575988;2233.29816708957;"2019-01";2019;"01";15.6701;38.0706;346.679146290188;2550.0099;2237.4474;0.0369581947924184;1.15834763152027
2019-01-15;50;14.5853;38.0627;NA;NA;0.109;0.535;0.493;7.95079298073739;8.11519842478527;NA;8.11519842478527;0.0223642230296091;0.878038843292913;1;1;3;NA;NA;8.18011858814504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.12711620324056;NA;NA;"2019-01";2019;"01";14.5853;38.0627;332.721580514323;2565.46306615006;2228.9449690506;0.0223642230296091;0.878038843292913
2019-01-22;50;14.4671;38.0623;NA;2205.19095;NA;NA;0.46;7.9543977708369;8.12080300683221;NA;8.12080300683221;NA;NA;1;1;4;NA;NA;8.22320319937917;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.16814754600716;NA;2201.58151504244;"2019-01";2019;"01";14.4671;38.0623;318.36600496946;2569.57232726495;2205.19095;0.0238206458130995;0.956713230403537
2019-01-29;50;13.9719;38.1115;2580.0159;2244.24876;0.167;0.853;0.368;7.93891735966068;8.11303981566595;NA;8.11303981566595;0.0252770685965899;1.03538761751416;1;1;5;1;5;8.18591763278712;1.13034508100815e-05;297.58812331552;298.681214522594;297.520624116262;298.613570360975;299.608151796808;306.198747363858;0.0019976461456588;0.00023529916353111;3.49948775717365;5.44055759530119;8.12332588228548;2572.46773808431;2237.68292720045;"2019-01";2019;"01";13.9719;38.1115;298.681214522594;2580.0159;2244.24876;0.0252770685965899;1.03538761751416
2019-02-05;50;13.8197;38.014;2570.31396;2281.70625;0.276;0.752;0.355;7.94101591542997;8.11765530106141;NA;8.11765530106141;0.0213891775513232;2.692119665437;1;2;6;1;5;8.11509822615986;1.38000775752134e-05;361.421342033225;362.751581304639;361.339787662235;362.669851142507;363.875976046902;371.896590537313;0.00206309816223094;0.00020480801019384;3.04703830879351;4.73888381203615;8.05059541048844;2569.36735097596;2280.8659309728;"2019-02";2019;"02";13.8197;38.014;362.751581304639;2570.31396;2281.70625;0.0213891775513232;2.692119665437
