"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg";"year";"month";"year.month";"AOU";"OSAT";"neg_AOU";"mean_AOU"
2010-08-31 09:00:00;1;23.919;38.06;5.16;224.609266480237;2010;"08";"2010-08";-18.5429306687669;206.06633581147;18.5429306687669;-0.608437997236735
2010-09-07 09:00:00;1;23.625;38.091;5.28;229.807808743381;2010;"09";"2010-09";-22.7517658331804;207.056042910201;22.7517658331804;-0.608437997236735
2010-09-14 09:00:00;1;22.968;38.02;5.04;219.332122192412;2010;"09";"2010-09";-9.83801071192863;209.494111480483;9.83801071192863;-0.608437997236735
2010-09-21 09:00:00;1;22.328;38.016;5.19;225.819742350127;2010;"09";"2010-09";-13.9878139022335;211.831928447894;13.9878139022335;-0.608437997236735
2010-09-28 09:00:00;1;22.244;38.151;5.09;221.441330471978;2010;"09";"2010-09";-9.4871243545158;211.954206117462;9.4871243545158;-0.608437997236735
2010-10-07 09:00:00;1;20.84;38.109;5.05;219.623573688285;2010;"10";"2010-10";-2.30177938501365;217.321794303271;2.30177938501365;-0.608437997236735
2010-10-12 09:00:00;1;19.787;38.144;5.15;223.904510987083;2010;"10";"2010-10";-2.47934329513021;221.425167691953;2.47934329513021;-0.608437997236735
2010-10-19 09:00:00;1;19.787;38.144;5.21;226.513107231593;2010;"10";"2010-10";-5.08793953964022;221.425167691953;5.08793953964022;-0.608437997236735
2010-10-26 09:00:00;1;18.9302748191972;37.5215;5.18;225.263899108041;2010;"10";"2010-10";0.596422710871309;225.860321818912;-0.596422710871309;-0.608437997236735
2010-11-03 09:00:00;1;18.047;36.899;5.34;232.278913518602;2010;"11";"2010-11";-1.7148429968002;230.564070521802;1.7148429968002;-0.608437997236735
2010-11-09 09:00:00;1;18.319;38.034;5.28;229.489857168021;2010;"11";"2010-11";-1.84136863719968;227.648488530821;1.84136863719968;-0.608437997236735
2010-11-17 09:00:00;1;17.824;38.003;5.28;229.467300613199;2010;"11";"2010-11";0.346040573007002;229.813341186206;-0.346040573007002;-0.608437997236735
2010-11-23 09:00:00;1;17.076;37.617;5.39;234.273435520774;2010;"11";"2010-11";-0.576140561186975;233.697294959587;0.576140561186975;-0.608437997236735
2010-11-30 09:00:00;1;15.061;35.473;5.46;237.58946204067;2010;"11";"2010-11";9.03025476717187;246.619716807842;-9.03025476717187;-0.608437997236735
2010-12-08 09:00:00;1;14.204;35.468;5.55;241.462875604125;2010;"12";"2010-12";9.42876560557769;250.891641209703;-9.42876560557769;-0.608437997236735
2010-12-14 09:00:00;1;15.166;37.658;5.79;251.541827905628;2010;"12";"2010-12";-9.10293848196761;242.43888942366;9.10293848196761;-0.608437997236735
2010-12-21 09:00:00;1;14.731;37.824;5.85333333333333;254.237457687453;2010;"12";"2010-12";-9.9828441755987;244.254613511854;9.9828441755987;-0.608437997236735
2010-12-28 09:00:00;1;14.064;37.532;5.91666666666667;257.008223802021;2010;"12";"2010-12";-8.97676669678833;248.031457105233;8.97676669678833;-0.608437997236735
2011-01-04 09:00:00;1;14.085;37.73;5.98;259.72173580627;2011;"01";"2011-01";-12.1345841954009;247.587151610869;12.1345841954009;-10.3368729174447
2011-01-11 09:00:00;1;13.616;37.661;6.2;269.264404438837;2011;"01";"2011-01";-19.2032568501986;250.061147588638;19.2032568501986;-10.3368729174447
2011-01-18 09:00:00;1;13.317;37.496;5.87;254.948696903784;2011;"01";"2011-01";-3.07430439548955;251.874392508294;3.07430439548955;-10.3368729174447
2011-01-25 09:00:00;1;13.157;37.849;5.65;245.320283547297;2011;"01";"2011-01";6.75759830810017;252.077881855397;-6.75759830810017;-10.3368729174447
2011-02-01 09:00:00;1;13.386;37.993;5.81;252.251769557675;2011;"02";"2011-02";-1.59922759646187;250.652541961213;1.59922759646187;-10.3368729174447
2011-02-08 09:00:00;1;13.352;38.001;5.9;256.155958936505;2011;"02";"2011-02";-5.34393823577318;250.812020700732;5.34393823577318;-10.3368729174447
2011-02-15 09:00:00;1;13.448;37.926;5.92;257.043864148727;2011;"02";"2011-02";-6.59036305966373;250.453501089063;6.59036305966373;-10.3368729174447
2011-02-22 09:00:00;1;13.104;37.89;5.9;256.164498850582;2011;"02";"2011-02";-3.88547471695119;252.279024133631;3.88547471695119;-10.3368729174447
2011-03-01 09:00:00;1;13.35;38.046;5.78;250.937392477147;2011;"03";"2011-03";-0.193679398335632;250.743713078811;0.193679398335632;-10.3368729174447
2011-03-08 09:00:00;1;13.076;38.026;5.41;234.864399340832;2011;"03";"2011-03";17.3199712743476;252.18437061518;-17.3199712743476;-10.3368729174447
2011-03-15 09:00:00;1;13.126;38.024;5.9;256.139749479567;2011;"03";"2011-03";-4.20951018310592;251.930239296461;4.20951018310592;-10.3368729174447
2011-03-22 09:00:00;1;13.721;37.233;6.025;261.754252357507;2011;"03";"2011-03";-11.4819183874848;250.272333970022;11.4819183874848;-10.3368729174447
2011-03-29 09:00:00;1;13.599;37.419;6.15;267.140687764103;2011;"03";"2011-03";-16.5725355572502;250.568152206853;16.5725355572502;-10.3368729174447
2011-04-05 09:00:00;1;15.12;37.169;6;260.758216936633;2011;"04";"2011-04";-17.2822718586476;243.475945077985;17.2822718586476;-10.3368729174447
2011-04-12 09:00:00;1;16.586;37.131;6.14;266.938267722957;2011;"04";"2011-04";-30.2584223962353;236.679845326722;30.2584223962353;-10.3368729174447
