"datetime";"depth";"temperature";"salinity"
1997-04-02;"0";14.655;37.805
1997-04-02;"50";14.056;37.859
1997-04-09;"0";14.441;37.836
1997-04-09;"50";14.181;37.865
1997-04-16;"0";15.077;37.772
1997-04-16;"50";14.286;37.873
1997-04-23;"0";15.251;37.884
1997-04-23;"50";14.64;37.886
1997-04-30;"0";15.708;37.915
1997-04-30;"50";14.585;37.922
1997-05-14;"0";15.293;37.889
1997-05-14;"50";14.971;37.864
1997-05-21;"0";17.367;37.772
1997-05-21;"50";15.117;37.836
1997-05-28;"0";19.915;37.801
1997-05-28;"50";14.94;37.939
1997-06-04;"0";18.956;37.802
1997-06-04;"50";17.028;37.864
1997-06-11;"0";21.535;37.33
1997-06-11;"50";16.055;37.918
1997-06-18;"0";23.022;37.578
1997-06-18;"50";16.204;37.901
1997-06-25;"0";19.587;37.832
1997-06-25;"50";15.486;37.894
1997-07-02;"0";16.828;37.821
1997-07-02;"50";14.644;37.946
1997-07-08;"0";21.077;37.914
1997-07-08;"50";15.953;37.892
1997-07-16;"0";23.672;37.868
1997-07-16;"50";15.477;37.918
1997-07-23;"0";24.558;37.789
1997-07-23;"50";15.625;37.907
1997-07-30;"0";25.888;37.907
1997-07-30;"50";15.29;37.927
1997-08-13;"0";25.638;37.943
1997-08-13;"50";15.831;37.912
1997-08-20;"0";24.985;37.909
1997-08-20;"50";15.116;37.926
1997-08-27;"0";24.919;37.927
1997-08-27;"50";16;37.864
1997-09-03;"0";23.7;37.831
1997-09-03;"50";15.434;37.9
1997-09-10;"0";24.698;37.871
1997-09-10;"50";16.189;37.829
1997-09-17;"0";23.68;38.03
1997-09-17;"50";18.128;37.789
1997-09-24;"0";23.037;38.093
1997-09-24;"50";15.608;37.871
1997-10-01;"0";22.979;38.142
1997-10-01;"50";16.532;37.828
1997-10-03;"0";22.811;38.159
1997-10-03;"50";16.628;37.824
1997-10-07;"0";22.702;38.167
1997-10-07;"50";17.933;37.815
