"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2003-06-11 09:00:00;50;14.186;38.052;NA;NA
2003-06-11 09:00:00;1;23.929;37.779;NA;NA
2003-06-18 09:00:00;50;14.428;38.002;NA;NA
2003-06-18 09:00:00;1;25.379;37.721;NA;NA
2003-06-25 09:00:00;50;14.287;38.027;6.12;265.754142934653
2003-06-25 09:00:00;1;25.93;37.955;5.19;226.068844798172
2003-07-04 09:00:00;50;14.283;38.05;6.16;267.486242495706
2003-07-04 09:00:00;1;18.681;37.938;5.84;253.870737039823
2003-07-09 09:00:00;50;14.367;38.053;5.86;254.4632960972
2003-07-09 09:00:00;1;25.675;38.136;4.93;214.698193430033
2003-07-16 09:00:00;50;14.897;38.026;5.96;258.840530916853
2003-07-16 09:00:00;1;26.454;38.139;4.91;213.878106298007
2003-07-23 09:00:00;50;14.473;38.05;5.83;253.166895727062
2003-07-23 09:00:00;1;26.85;38.083;4.85;211.299402334774
2003-07-30 09:00:00;50;14.372;38.075;5.83;253.156664414015
2003-07-30 09:00:00;1;26.869;38.135;4.85;211.292573734252
2003-08-06 09:00:00;50;14.715;38.053;5.82;252.745257791546
2003-08-06 09:00:00;1;27.003;38.124;4.75;206.94643177899
2003-08-13 09:00:00;50;15.242;38.001;5.74;249.309585413346
2003-08-13 09:00:00;1;27.718;38.182;4.79;208.727678999507
2003-08-20 09:00:00;50;15.274;37.978;NA;NA
2003-08-20 09:00:00;1;27.972;38.204;NA;NA
2003-08-27 09:00:00;50;14.99;37.991;5.93;257.549647485888
2003-08-27 09:00:00;1;27.608;38.175;4.53;197.392056710522
2003-09-03 09:00:00;50;14.978;38.016;6.13;266.230277599834
2003-09-03 09:00:00;1;24.788;38.174;4.97;216.376098413456
2003-09-10 09:00:00;50;14.922;38.016;6.09;264.489811420593
2003-09-10 09:00:00;1;23.398;38.186;5.02;218.461825938662
2003-09-18 09:00:00;50;15.064;38.005;6.13;266.237496076521
2003-09-18 09:00:00;1;23.071;38.211;5.05;219.742686843905
2003-09-23 09:00:00;50;15.574;37.996;6.22;270.178751543463
2003-09-23 09:00:00;1;22.816;38.201;5.05;219.728359618789
2003-09-30 09:00:00;50;16.166;37.927;6.05;262.84328763277
2003-09-30 09:00:00;1;22.356;38.21;5.03;218.828306001448
2003-10-09 09:00:00;50;16.149;38.011;5.82;252.833998970018
2003-10-09 09:00:00;1;20.286;38.164;5.46;237.409721147488
2003-10-14 09:00:00;50;15.804;37.992;5.88;255.424123157002
2003-10-14 09:00:00;1;20.852;38.219;4.93;214.387965516184
