datetime;depth;temperature;salinity;ta;dic;NO2;NO3;Chla;pH_s_somlit_temp_25;pH_s_somlit_temp_insi;diff_pH;pH_insi;Pt;Sit;quarter;monthd;week;Patm;P;pH_calc;CO2;fCO2;pCO2_w;fCO2pot;pCO2pot;fCO2insitu;pCO2insitu;HCO3;CO3;OmegaAragonite;OmegaCalcite;pH_18;Nta;Ndic;Year.Month;Year;Month;speed_ms;impute_temp;impute_sal;pCO2_LAMP;pCO2_PR;pCO2_CORSE;impute_pCO2_w;impute_ta;impute_dic;pCO2_atmos;impute_pCO2_atmos;delta_pCO2;impute_Pt;impute_Sit;Tmean;pCO2_w_mean;NpCO2;TpCO2;delta_pCO2_T;delta_pCO2_bio
18/05/2010;0;16.66;37.63;2539.40778;2218.79367;0.049;NA;0.24;NA;NA;NA;NA;0.0671456746584814;2.73740264948273;2;5;20;1;0;8.13350773272333;1.19744080073977e-05;340.823900167596;342.033845356079;340.823900167596;342.033845356079;340.823900167596;342.033846991495;0.00198070839020318;0.00022611087178942;3.42193059598228;5.29310627071104;8.11282522835846;2564.37671113473;2240.61013712463;2010-05;2010;5;1.5034965;16.66;37.63;380.45844940759;380.704651895563;NA;342.033845356079;2539.40778;2218.79367;380.45844940759;380.45844940759;-38.424604051511;0.0671456746584814;2.73740264948273;18.8349598521183;411.419879263541;374.994176658873;375.257889640386;-32.9603313027935;-33.2240442843073
25/05/2010;0;18.06;37.49;2545.45899;2230.84608;NA;NA;0.3;NA;NA;NA;NA;NA;NA;2;5;21;1;0;8.10327852817327;1.25343687104401e-05;371.229818174533;372.524725677287;371.229818174533;372.524725677287;371.229818174533;372.524727561012;0.00199484967415922;0.00022346203713033;3.39796772148751;5.23895300588938;8.10419542542799;2580.08646625767;2261.19367938117;2010-05;2010;5;1.4625729;18.06;37.49;NA;NA;NA;372.524725677287;2545.45899;2230.84608;NA;379.176064007633;-6.65133833034605;0.0707486684537686;2.15526795464306;18.8349598521183;411.419879263541;384.93874395495;398.151861997996;-12.4140182776632;-25.6271363207088
01/06/2010;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;6;22;NA;NA;8.08718668960469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.11425789220119;NA;NA;2010-06;2010;6;3.1354578;19.765;37.475;NA;377.893678607676;NA;388.708976172623;2544.433785;2223.72678185002;377.893678607676;377.893678607676;10.8152975649475;0.0743516622490558;1.57313325980338;18.8349598521183;411.419879263541;373.713788158002;427.928016340627;14.9951880146211;-39.2190401680044
08/06/2010;0;21.47;37.46;2543.40858;2216.4432;0.007;0.074;0.29;NA;NA;NA;NA;0.077954656044343;0.99099856496371;2;6;23;1;0;8.07136478229952;1.23986898632604e-05;403.544120150001;404.89322666796;403.544120150001;404.89322666796;403.544120150001;404.893228739947;0.00197111373720107;0.00023293077293566;3.58166071900881;5.47329736869152;8.12448008290567;2580.07277202349;2248.39406300053;2010-06;2010;6;2.1203067;21.47;37.46;NA;379.051993462513;NA;404.89322666796;2543.40858;2216.4432;379.051993462513;379.051993462513;25.841233205447;0.077954656044343;0.99099856496371;18.8349598521183;411.419879263541;362.187196741118;459.931007857866;42.7060299268419;-55.0377811899061
15/06/2010;0;21.38;37.65;2540.40798;2219.4438;0.003;0.131;NA;NA;NA;NA;NA;0.0321509737803593;2.2875904980692;2;6;24;1;0;8.06156141598556;1.27337634407147e-05;413.869250571003;415.254433854528;413.869250571003;415.254433854528;413.869250571003;415.254436038017;0.00197801045286378;0.0002286995836955;3.51052535756579;5.36515362209957;8.11324405471779;2564.02399043825;2240.07607968128;2010-06;2010;6;9.512625;21.38;37.65;377.674616551448;NA;NA;415.254433854528;2540.40798;2219.4438;377.674616551448;377.674616551448;37.5798173030799;0.0321509737803593;2.2875904980692;18.8349598521183;411.419879263541;372.872384254002;458.183379232773;42.3820496005255;-42.9289453782453
23/06/2010;0;21.83;37.52;2540.95809;2218.69365;NA;NA;0.21;NA;NA;NA;NA;NA;NA;2;6;25;1;0;8.05815115366205;1.2705745994628e-05;417.676073393005;419.066245458601;417.676073393005;419.066245458601;417.676073393005;419.066247661578;0.00197598834843794;0.00022999955556742;3.53958525561058;5.40333321564015;8.11669108146972;2573.46501652452;2247.07779051173;2010-06;2010;6;2.8051927;21.83;37.52;374.589331042708;NA;NA;419.066245458601;2540.95809;2218.69365;374.589331042708;374.589331042708;44.476914415893;0.0414293590050948;3.26913233651374;18.8349598521183;411.419879263541;369.200114548298;466.98843612479;49.866130910303;-47.9221906661892
29/06/2010;0;23.56;37.26;2539.45779;2216.9433;0.017;0.252;NA;NA;NA;NA;NA;0.0507077442298303;4.25067417495828;2;6;26;1;0;8.03560111015674;1.29321160160545e-05;444.260969668916;445.708506695916;444.260969668916;445.708506695916;444.260969668916;445.708509099714;0.0019729782196128;0.00023103296437113;3.58604230678144;5.4483085977319;8.12035930177655;2589.8925394525;2260.97276972625;2010-06;2010;6;1.8191398;23.56;37.26;NA;NA;NA;445.708506695916;2539.45779;2216.9433;NA;374.298152982128;71.4103537137878;0.0507077442298303;4.25067417495828;18.8349598521183;411.419879263541;364.962996015047;502.443650489998;80.7455106808686;-56.7351437940818
06/07/2010;0;24.75;37.62;2545.45899;2217.64344;0.014;0.069;0.19;NA;NA;NA;NA;0.0555880932975001;1.1897802425079;3;7;27;1;0;8.02103382666893;1.30103174759563e-05;461.612068315165;463.094421521212;461.612068315165;463.094421521212;461.612068315165;463.094424052821;0.00196976481357975;0.00023486830894428;3.65326859774841;5.52901238866416;8.12376056893266;2571.1706969697;2240.04387878788;2010-07;2010;7;1.0907965;24.75;37.62;NA;NA;NA;463.094421521212;2545.45899;2217.64344;NA;374.006974921548;89.0874465996636;0.0555880932975001;1.1897802425079;18.8349598521183;411.419879263541;360.583938671511;528.382522227215;102.510482849701;-65.2881007060031
13/07/2010;0;24.62;37.47;2546.35917;2213.4426;0.008;0.076;0.19;NA;NA;NA;NA;0.0341355016814739;1.46099947196708;3;7;28;1;0;8.03245359353164;1.26704316882997e-05;447.727102371671;449.167129099903;447.727102371671;449.167129099903;447.727102371671;449.16713148796;0.00196245913822423;0.00023831303008747;3.70919497821091;5.61656204022182;8.1333306603469;2582.37652682146;2244.75096877502;2010-07;2010;7;2.8388834;24.62;37.47;NA;NA;NA;449.167129099903;2546.35917;2213.4426;NA;373.715796860969;75.4513322389344;0.0341355016814739;1.46099947196708;18.8349598521183;411.419879263541;351.668104336751;525.484920993789;97.4990247631516;-76.3177918938863
20/07/2010;0;25;38;2559.26175;2220.54402;NA;NA;0.2;NA;NA;NA;NA;NA;NA;3;7;29;1;0;8.02755033763583;1.26925026913787e-05;454.077490734032;455.531193602847;454.077490734032;455.531193602847;454.077490734032;455.531196039756;0.00196568952274965;0.00024216199455896;3.75919785612139;5.68339250482342;8.13417102464145;2559.26175;2220.54402;2010-07;2010;7;2.677553;25;38;NA;NA;NA;455.531193602847;2559.26175;2220.54402;NA;373.424618800389;82.1065748024582;0.0365701278755865;1.34726240971066;18.8349598521183;411.419879263541;350.963769806439;533.99981649451;104.567423796408;-78.4686228916628
27/07/2010;0;25.33;38.01;2559.61182;2220.09393;0.005;0.106;0.11;NA;NA;NA;NA;0.0390047540696991;1.23352534745424;3;7;30;1;0;8.02363776062585;1.27221058085535e-05;458.936124242579;460.399491157063;458.936124242579;460.399491157063;458.936124242579;460.399493629353;0.00196461545649347;0.00024275636769797;3.77339603622116;5.69899773464057;8.13523665250325;2558.93841515391;2219.50984846093;2010-07;2010;7;1.7937467;25.33;38.01;NA;373.133440739809;NA;460.399491157063;2559.61182;2220.09393;373.133440739809;373.133440739809;87.266050417254;0.0390047540696991;1.23352534745424;18.8349598521183;411.419879263541;349.797485222676;541.506188771638;110.602005934387;-81.1066976145752
03/08/2010;0;25.35;37.98;2564.16273;2226.4452;0.05;0.207;0.18;NA;NA;NA;NA;0.0585087805203523;1.41786278127654;3;8;31;1;0;8.02029224496704;1.28648107435051e-05;464.24346615253;465.72340454469;464.24346615253;465.72340454469;464.24346615253;465.723407073441;0.00197178556147032;0.00024179482778616;3.7596954380103;5.67806820776829;8.13216101587403;2565.513;2227.61763033175;2010-08;2010;8;6.133339;25.35;37.98;373.231340154319;370.937973671856;NA;465.72340454469;2564.16273;2226.4452;373.231340154319;373.231340154319;92.492064390371;0.0585087805203523;1.41786278127654;18.8349598521183;411.419879263541;353.543208058187;541.964496844319;112.180196486503;-76.241092299629
10/08/2010;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;8;32;NA;NA;8.04531982201329;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.12590666805405;NA;NA;2010-08;2010;8;3.3801317;23.28;37.945;371.417777733065;373.298221932548;NA;435.930709909247;2558.46159;2225.56352311559;371.417777733065;371.417777733065;64.5129321761815;0.0657808518057736;1.42387599795743;18.8349598521183;411.419879263541;361.209495601388;496.527810653279;74.7212143078595;-60.5971007440319
17/08/2010;0;21.21;37.91;2552.76045;2224.49481;0.026;0.073;0.13;NA;NA;NA;NA;0.0730529230911949;1.42988921463832;3;8;33;1;0;8.07073355927252;1.24938568068876e-05;404.780410558419;406.138015273803;404.780410558419;406.138015273803;404.780410558419;406.138017369897;0.00197853482388769;0.00023346612930541;3.57457002555668;5.46462215070582;8.11987161678267;2558.82081508837;2229.77585808494;2010-08;2010;8;1.4702821;21.21;37.91;372.047823470005;NA;NA;406.138015273803;2552.76045;2224.49481;372.047823470005;372.047823470005;34.0901918037979;0.0730529230911949;1.42988921463832;18.8349598521183;411.419879263541;367.318324999953;454.900400649229;38.8196902738501;-48.7623853754259
24/08/2010;0;24.58;37.97;2555.11092;2213.29257;NA;NA;0.07;NA;NA;NA;NA;NA;NA;3;8;34;1;0;8.03940188623785;1.23980407431485e-05;438.801891329074;440.213887258007;438.801891329074;440.213887258007;438.801891329074;440.213889553714;0.00195704229426297;0.00024385223499387;3.779734967366;5.72191027181953;8.13975164840837;2557.12970661048;2215.04128680537;2010-08;2010;8;3.678405;24.58;37.97;376.936978388661;NA;NA;440.213887258007;2555.11092;2213.29257;376.936978388661;376.936978388661;63.276908869346;0.0743530591412909;1.42406943550988;18.8349598521183;411.419879263541;345.241964627673;524.59655227934;94.9719226303337;-84.382665021333
31/08/2010;0;23.92;38.06;2558.76165;2224.74486;NA;NA;0.12;NA;NA;NA;NA;NA;NA;3;8;35;1;0;8.03598807525707;1.27576796377564e-05;444.211746722058;445.652749119267;444.211746722058;445.652749119267;444.211746722058;445.652751504541;0.00197341821756105;0.00023856896280118;3.6852946056466;5.58973032154522;8.12624655723496;2554.72786915397;2221.23764266947;2010-08;2010;8;2.5632758;23.92;38.06;370.457200309514;NA;NA;445.652749119267;2558.76165;2224.74486;370.457200309514;370.457200309514;75.195548809753;0.0756531951913868;1.41824965638143;18.8349598521183;411.419879263541;359.402475102291;510.15341556546;86.2502740169759;-64.5006664461929
07/09/2010;0;NA;NA;NA;NA;NA;NA;0.16;NA;NA;NA;NA;NA;NA;3;9;36;NA;NA;8.04871450478919;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.13184757024611;NA;NA;2010-09;2010;9;1.7238245;23.445;38.04;371.776419152554;375.8755936472;NA;430.581222384806;2558.21154;2220.72967537059;371.776419152554;371.776419152554;58.8048032322515;0.0769533312414828;1.41242987725299;18.8349598521183;411.419879263541;354.295488311744;500.005448477038;76.2857340730616;-69.4242260922317
14/09/2010;0;22.97;38.02;2557.66143;2216.69325;NA;NA;0.23;NA;NA;NA;NA;NA;NA;3;9;37;1;0;8.06146521304098;1.21927544226027e-05;414.150499139223;415.509695650344;414.150499139223;415.509695650344;414.150499139223;415.50969776524;0.0019618793095487;0.00024262118602868;3.73527816317135;5.68156873781544;8.13745221210979;2556.31600052604;2215.52718306155;2010-09;2010;9;2.5839994;22.97;38.02;373.823583147042;NA;NA;415.509695650344;2557.66143;2216.69325;373.823583147042;373.823583147042;41.686112503302;0.0782534672915788;1.40661009812455;18.8349598521183;411.419879263541;348.833158026645;490.059344657361;66.6765376236991;-74.5496490070169
21/09/2010;0;22.33;38.02;2559.41178;2226.74526;NA;NA;0.16;NA;NA;NA;NA;NA;NA;3;9;38;1;0;8.05830037971272;1.25393662165874e-05;418.827530749689;420.212960252667;418.827530749689;420.212960252667;418.827530749689;420.212962444744;0.00197716277359431;0.00023704312018909;3.64071571690475;5.54793970051014;8.124487910069;2558.0654297738;2225.57390531299;2010-09;2010;9;0.7378784;22.33;38.02;372.513088014207;375.00806913249;NA;420.212960252667;2559.41178;2226.74526;372.513088014207;372.513088014207;47.69987223846;0.0795536033416747;1.4007903189961;18.8349598521183;411.419879263541;362.462649359742;476.970429029065;57.7503108929252;-56.7574687763975
