"datetime";"temp_eol_c";"sal_eol_psu";"oxy_umol_kg";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"Hour";"NB_OBS_DAY"
2021-04-09;14.93015;38.1067666666667;263.826824932489;"2021";"04";"2021-04";"2021-04-09";30;"09:00:00";2
2021-04-09;15.4992666666667;38.0859166666667;264.301726288806;"2021";"04";"2021-04";"2021-04-09";30;"16:00:00";2
2021-04-10;15.1567333333333;38.0801166666667;265.955558634325;"2021";"04";"2021-04";"2021-04-10";30;"09:00:00";2
2021-04-10;14.92215;38.0547166666667;262.519327488998;"2021";"04";"2021-04";"2021-04-10";30;"16:00:00";2
2021-04-11;14.5680666666667;37.7800166666667;260.360840039614;"2021";"04";"2021-04";"2021-04-11";30;"09:00:00";2
2021-04-11;14.7563333333333;37.8066833333333;262.874022789533;"2021";"04";"2021-04";"2021-04-11";30;"16:00:00";2
2021-04-12;14.7304;37.8160666666667;263.378153050006;"2021";"04";"2021-04";"2021-04-12";30;"09:00:00";2
2021-04-12;14.77245;38.01885;262.272410160688;"2021";"04";"2021-04";"2021-04-12";30;"16:00:00";2
2021-04-13;14.6986333333333;38.0478166666667;262.263213743989;"2021";"04";"2021-04";"2021-04-13";30;"09:00:00";2
2021-04-13;15.0691166666667;38.0575833333333;263.50902916815;"2021";"04";"2021-04";"2021-04-13";30;"16:00:00";2
2021-04-14;14.5323333333333;38.0930166666667;261.27181381085;"2021";"04";"2021-04";"2021-04-14";30;"09:00:00";2
2021-04-14;14.7335833333333;38.1021166666667;261.523486616216;"2021";"04";"2021-04";"2021-04-14";30;"16:00:00";2
2021-04-15;14.5107666666667;38.0902;263.431840330239;"2021";"04";"2021-04";"2021-04-15";30;"09:00:00";2
2021-04-15;14.4387666666667;38.0587666666667;264.776173307247;"2021";"04";"2021-04";"2021-04-15";30;"16:00:00";2
2021-04-16;14.4309166666667;38.07335;263.767535613382;"2021";"04";"2021-04";"2021-04-16";30;"09:00:00";2
2021-04-16;14.5514666666667;38.07045;264.849350716739;"2021";"04";"2021-04";"2021-04-16";30;"16:00:00";2
2021-04-17;14.40375;38.0560833333333;264.330661416805;"2021";"04";"2021-04";"2021-04-17";30;"09:00:00";2
2021-04-17;14.4232833333333;38.0581166666667;265.702487382897;"2021";"04";"2021-04";"2021-04-17";30;"16:00:00";2
2021-04-18;14.3042;38.0105666666667;264.974951154331;"2021";"04";"2021-04";"2021-04-18";30;"09:00:00";2
2021-04-18;14.6465833333333;38.0058166666667;265.722420148203;"2021";"04";"2021-04";"2021-04-18";30;"16:00:00";2
2021-04-19;14.3564166666667;38.0081333333333;266.314047492925;"2021";"04";"2021-04";"2021-04-19";30;"09:00:00";2
2021-04-19;15.0318666666667;38.0354166666667;267.16877316997;"2021";"04";"2021-04";"2021-04-19";30;"16:00:00";2
2021-04-20;14.5157333333333;38.0132666666667;268.417770721557;"2021";"04";"2021-04";"2021-04-20";30;"09:00:00";2
2021-04-20;15.2232;38.00755;266.407717270606;"2021";"04";"2021-04";"2021-04-20";30;"16:00:00";2
2021-04-21;14.75015;37.9942;267.860102084957;"2021";"04";"2021-04";"2021-04-21";30;"09:00:00";2
2021-04-21;14.9705333333333;38.00285;269.60445280946;"2021";"04";"2021-04";"2021-04-21";30;"16:00:00";2
2021-04-22;14.7188333333333;37.9921333333333;267.55141142414;"2021";"04";"2021-04";"2021-04-22";30;"09:00:00";2
2021-04-22;15.0498166666667;38.0058;267.723260230261;"2021";"04";"2021-04";"2021-04-22";30;"16:00:00";2
2021-04-23;14.8187833333333;37.9715666666667;267.825893440945;"2021";"04";"2021-04";"2021-04-23";30;"09:00:00";2
2021-04-23;15.4889;37.9551;268.414987587407;"2021";"04";"2021-04";"2021-04-23";30;"16:00:00";2
2021-04-24;15.5982166666667;37.9488166666667;267.692245031801;"2021";"04";"2021-04";"2021-04-24";30;"09:00:00";2
2021-04-24;15.776;37.94635;268.532110868082;"2021";"04";"2021-04";"2021-04-24";30;"16:00:00";2
2021-04-25;15.5979833333333;37.95425;270.612779248467;"2021";"04";"2021-04";"2021-04-25";30;"09:00:00";2
2021-04-25;16.3123166666667;37.9597666666667;267.726280094054;"2021";"04";"2021-04";"2021-04-25";30;"16:00:00";2
2021-04-26;15.622;37.9316166666667;267.799212156548;"2021";"04";"2021-04";"2021-04-26";30;"09:00:00";2
2021-04-26;15.5193333333333;37.9717666666667;271.111196337854;"2021";"04";"2021-04";"2021-04-26";30;"16:00:00";2
2021-04-27;14.9691666666667;38.0084;261.755537654574;"2021";"04";"2021-04";"2021-04-27";30;"09:00:00";2
2021-04-27;15.1959666666667;38.0141833333333;263.399447555714;"2021";"04";"2021-04";"2021-04-27";30;"16:00:00";2
2021-04-28;15.04405;37.9954166666667;261.780825156528;"2021";"04";"2021-04";"2021-04-28";30;"09:00:00";2
2021-04-28;15.2466;37.99275;264.865634393642;"2021";"04";"2021-04";"2021-04-28";30;"16:00:00";2
2021-04-29;15.10095;37.8625833333333;263.935341326451;"2021";"04";"2021-04";"2021-04-29";30;"09:00:00";2
2021-04-29;15.1455;37.5495833333333;263.720738961245;"2021";"04";"2021-04";"2021-04-29";30;"16:00:00";2
